Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
D1,13/08/2021,19:30,M'gladbach,Bayern Munich,1,1,D,1,1,D,11,20,5,10,7,4,3,8,2,0,0,0,4.33,4.5,1.66,4.5,4.33,1.67,4.2,4.4,1.7,4.73,4.39,1.71,4.4,4.5,1.63,4.33,4.5,1.67,4.82,4.5,1.77,4.54,4.32,1.7,1.4,3,1.42,3.01,1.45,3.15,1.4,2.96,0.75,2.06,1.87,2.05,1.88,2.06,1.89,2,1.87,4.33,4.5,1.65,4.4,4.4,1.67,4.2,4.4,1.73,4.53,4.31,1.75,4.4,4.5,1.63,4.33,4.2,1.73,4.84,4.62,1.77,4.43,4.31,1.7,1.36,3.2,1.42,3.01,1.43,3.26,1.38,3.01,0.75,1.99,1.94,1.99,1.93,2.1,1.96,1.98,1.88
D1,14/08/2021,14:30,Augsburg,Hoffenheim,0,4,A,0,1,A,7,15,0,8,8,9,6,5,1,2,0,0,3.2,3.75,2.1,3.25,3.5,2.1,3.1,3.7,2.2,3.2,3.83,2.23,3.2,3.5,2.15,3,3.75,2.15,3.34,3.89,2.25,3.19,3.68,2.17,1.61,2.3,1.64,2.38,1.69,2.4,1.62,2.33,0.25,1.99,1.94,1.98,1.94,2.03,1.95,1.97,1.9,3.3,3.75,2.05,3.3,3.6,2.15,3.15,3.55,2.2,3.29,3.66,2.25,3.2,3.6,2.15,3.1,3.75,2.15,3.68,3.85,2.3,3.22,3.63,2.17,1.61,2.3,1.67,2.33,1.69,2.5,1.62,2.3,0.25,1.97,1.96,1.98,1.94,2.02,1.99,1.96,1.91
D1,14/08/2021,14:30,Bielefeld,Freiburg,0,0,D,0,0,D,10,14,4,6,13,10,4,9,3,4,0,0,2.8,3.4,2.5,2.75,3.2,2.55,2.95,3.25,2.5,3.04,3.33,2.54,2.88,3.2,2.5,2.8,3.4,2.45,3.07,3.49,2.65,2.92,3.27,2.52,2.05,1.88,2.07,1.85,2.07,1.9,1.99,1.84,0,2.14,1.8,2.16,1.8,2.16,1.83,2.1,1.8,2.87,3.4,2.4,3,3.1,2.55,3.05,3.1,2.5,3.1,3.26,2.54,2.9,3.25,2.45,3,3.2,2.45,3.13,3.49,2.6,3.01,3.17,2.51,2.3,1.61,2.32,1.68,2.38,1.77,2.28,1.64,0.25,1.75,2.05,1.79,2.16,1.8,2.2,1.76,2.12
D1,14/08/2021,14:30,Stuttgart,Greuther Furth,5,1,H,2,0,H,30,8,15,4,11,8,9,2,0,1,0,0,1.83,4,4,1.83,3.9,4.1,1.85,3.9,3.9,1.9,3.93,4.13,1.8,3.9,4,1.83,3.9,3.9,1.91,4.12,4.32,1.86,3.9,3.98,1.61,2.3,1.65,2.37,1.66,2.49,1.6,2.38,-0.5,1.87,2.06,1.9,2.03,1.9,2.08,1.86,2.02,1.75,4,4.2,1.8,3.9,4.2,1.85,3.8,4,1.85,3.87,4.45,1.8,3.8,4.2,1.8,4,4,1.9,4.11,4.7,1.83,3.82,4.2,1.72,2.1,1.79,2.13,1.79,2.4,1.71,2.16,-0.75,2.02,1.77,2.09,1.83,2.12,1.86,2.07,1.8
D1,14/08/2021,14:30,Union Berlin,Leverkusen,1,1,D,1,1,D,8,16,5,4,13,5,1,6,0,1,0,0,2.75,3.4,2.55,2.75,3.4,2.55,2.75,3.35,2.55,2.83,3.44,2.65,2.8,3.2,2.55,2.7,3.4,2.55,2.89,3.59,2.7,2.79,3.36,2.57,1.9,1.9,1.91,2,1.94,2.01,1.87,1.96,0,2.04,1.89,2.03,1.9,2.06,1.9,2.02,1.87,2.55,3.4,2.7,2.75,3.2,2.7,2.75,3.4,2.55,2.74,3.25,2.86,2.7,3.2,2.62,2.63,3.3,2.75,2.82,3.48,2.9,2.7,3.21,2.75,2.1,1.72,2.13,1.79,2.23,1.9,2.08,1.76,0,1.92,2.01,1.92,2.01,1.95,2.02,1.91,1.96
D1,14/08/2021,14:30,Wolfsburg,Bochum,1,0,H,1,0,H,21,7,9,1,9,7,5,2,0,2,0,1,1.53,4.5,5.75,1.53,4.5,5.75,1.57,4.4,5.5,1.59,4.41,5.92,1.57,4.2,5.5,1.55,4.5,5.25,1.63,4.52,6.2,1.57,4.37,5.63,1.57,2.37,1.62,2.43,1.66,2.43,1.6,2.38,-1,1.99,1.94,1.99,1.93,2,1.95,1.95,1.92,1.4,5,7,1.48,4.5,6.5,1.55,4.4,5.75,1.46,4.85,7.39,1.42,4.6,7,1.44,4.8,7,1.55,5.13,7.8,1.45,4.72,6.93,1.61,2.3,1.68,2.3,1.68,2.5,1.61,2.33,-1.25,1.99,1.94,2.01,1.92,2.01,1.95,1.96,1.91
D1,14/08/2021,17:30,Dortmund,Ein Frankfurt,5,2,H,3,1,H,12,12,7,3,5,14,7,3,0,0,0,0,1.4,5.5,6.5,1.45,5,6.25,1.43,5.25,6.25,1.45,5.24,6.8,1.42,5,6.5,1.4,5.25,6.5,1.47,5.65,7,1.44,5.17,6.49,1.36,3.2,1.37,3.29,1.39,3.42,1.35,3.21,-1.25,1.9,2.03,1.88,2.04,1.94,2.05,1.88,2,1.45,5,5.75,1.45,5.25,6,1.45,5,6,1.47,5.12,6.61,1.44,5,6,1.45,5,6,1.53,5.4,6.61,1.47,4.98,6.08,1.36,3.2,1.38,3.22,1.42,3.48,1.37,3.09,-1.25,2.02,1.91,1.96,1.96,2.05,1.96,1.97,1.89
D1,15/08/2021,14:30,Mainz,RB Leipzig,1,0,H,1,0,H,7,15,2,2,10,8,5,11,1,2,0,0,8,5.5,1.33,8,5.5,1.34,8.25,5.5,1.35,8.09,5.66,1.38,9,5,1.33,8.5,5.5,1.33,9.1,5.8,1.39,8.07,5.44,1.35,1.53,2.5,1.56,2.56,1.57,2.6,1.54,2.5,1.5,1.88,1.93,1.95,1.97,1.95,2.02,1.9,1.96,7.5,4.75,1.4,7.5,5,1.4,7.25,5,1.4,7.54,4.98,1.44,8,5,1.36,7.5,5,1.4,8.28,5.05,1.46,7.41,4.86,1.42,1.66,2.2,1.67,2.33,1.72,2.4,1.63,2.29,1.25,1.95,1.98,1.96,1.96,2.05,1.99,1.95,1.92
D1,15/08/2021,16:30,FC Koln,Hertha,3,1,H,1,1,D,15,11,5,5,18,14,4,5,4,2,0,0,2.55,3.4,2.75,2.55,3.4,2.75,2.55,3.3,2.8,2.62,3.41,2.88,2.55,3.2,2.8,2.5,3.4,2.75,2.7,3.49,2.9,2.57,3.34,2.8,2,1.93,1.98,1.93,2.03,1.93,1.96,1.88,0,1.87,2.06,1.88,2.06,1.89,2.07,1.86,2.03,2.37,3.5,2.9,2.3,3.4,3.1,2.35,3.3,3.1,2.4,3.44,3.18,2.35,3.3,3,2.3,3.5,3,2.44,3.57,3.25,2.36,3.36,3.07,2,1.8,2.04,1.88,2.05,1.93,1.98,1.84,-0.25,2.05,1.88,2.06,1.88,2.07,1.88,2.04,1.84
